country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","28-01-2026 21:00:00",25.42742023,86.13886079,CO,19,104,39
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","28-01-2026 21:00:00",26.80365,84.51954,OZONE,22,23,22
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","28-01-2026 21:00:00",25.251013,86.989001,OZONE,13,24,17
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","28-01-2026 21:00:00",25.265194,87.012947,PM2.5,43,90,64
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","28-01-2026 21:00:00",25.265194,87.012947,CO,78,96,86
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","28-01-2026 21:00:00",25.265194,87.012947,OZONE,11,41,19
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","28-01-2026 21:00:00",25.204762,85.514960,PM10,33,125,80
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","28-01-2026 21:00:00",25.567520,83.966379,PM2.5,73,137,95
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","28-01-2026 21:00:00",16.509717,80.612222,OZONE,1,48,33
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","28-01-2026 21:00:00",16.554731,80.649110,OZONE,20,22,20
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","28-01-2026 21:00:00",27.103358,93.679645,NO2,7,8,7
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","28-01-2026 21:00:00",27.103358,93.679645,NH3,1,1,1
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","28-01-2026 21:00:00",27.103358,93.679645,OZONE,6,6,6
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","28-01-2026 21:00:00",26.071318,91.87488,PM2.5,91,237,148
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","28-01-2026 21:00:00",26.071318,91.87488,NH3,3,4,4
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","28-01-2026 21:00:00",26.10887,91.589544,PM2.5,48,143,85
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","28-01-2026 21:00:00",26.10887,91.589544,SO2,8,22,13
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","28-01-2026 21:00:00",26.181742,91.78063,PM10,94,239,152
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","28-01-2026 21:00:00",26.349082,92.68449,OZONE,3,14,9
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","28-01-2026 21:00:00",26.446912,91.439057,SO2,NA,NA,NA
India,Assam,Silchar,"Tarapur, Silchar - PCBA","28-01-2026 21:00:00",24.82827,92.79525,SO2,4,8,6
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","28-01-2026 21:00:00",14.465052,78.824187,PM10,50,90,77
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","28-01-2026 21:00:00",14.465052,78.824187,CO,8,12,11
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","28-01-2026 21:00:00",14.465052,78.824187,OZONE,10,22,19
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","28-01-2026 21:00:00",13.67,79.35,PM2.5,95,212,155
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","28-01-2026 21:00:00",13.67,79.35,NO2,14,37,24
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","28-01-2026 21:00:00",13.615387,79.409230,SO2,15,23,17
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","28-01-2026 21:00:00",26.146529,87.454184,PM10,28,131,92
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","28-01-2026 21:00:00",25.5626095,84.663264,NH3,1,1,1
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","28-01-2026 21:00:00",24.75746,84.366208,PM10,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","28-01-2026 21:00:00",24.75746,84.366208,SO2,NA,NA,NA
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","28-01-2026 21:00:00",25.42742023,86.13886079,NH3,10,11,11
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","28-01-2026 21:00:00",25.7808257,84.7446768,OZONE,4,24,8
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","28-01-2026 21:00:00",24.792403,84.992416,NO2,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","28-01-2026 21:00:00",24.792403,84.992416,SO2,NA,NA,NA
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","28-01-2026 21:00:00",24.762518,84.982348,PM2.5,50,86,65
